DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,76386.965734
01/07/2013,-90,75261.242733
01/07/2013,-75,74498.759976
01/07/2013,-60,73875.764904
01/07/2013,-45,73727.951383
01/07/2013,-30,73403.047718
01/07/2013,-15,72937.98991
01/07/2013,0,72540.677504
01/07/2013,15,72814.43985
01/07/2013,30,73335.865135
01/07/2013,45,73582.59832
01/07/2013,60,73412.102263
01/07/2013,75,74331.711577
01/07/2013,90,74472.806704
01/07/2013,105,76420.959817
01/07/2013,120,78111.950471
01/07/2013,135,80719.884633
01/07/2013,150,82156.807468
01/07/2013,165,83511.150451
01/07/2013,180,85017.1434
01/07/2013,195,88650.630171
01/07/2013,210,91150.808604
01/07/2013,225,94675.987998
01/07/2013,240,99049.940796
01/07/2013,255,108017.66701
01/07/2013,270,113694.61651
01/07/2013,285,115439.21382
01/07/2013,300,118931.244
01/07/2013,315,122733.93804
01/07/2013,330,125820.41338
01/07/2013,345,128339.69432
01/07/2013,360,131052.23295
01/07/2013,375,136004.29781
01/07/2013,390,137238.40034
01/07/2013,405,139568.79611
01/07/2013,420,141468.61977
01/07/2013,435,143993.80909
01/07/2013,450,144861.06421
01/07/2013,465,145885.85544
01/07/2013,480,148237.65071
01/07/2013,495,148359.99798
01/07/2013,510,149302.10361
01/07/2013,525,149348.66595
01/07/2013,540,150363.0843
01/07/2013,555,150632.93843
01/07/2013,570,150368.11751
01/07/2013,585,150551.04549
01/07/2013,600,149946.0103
01/07/2013,615,151702.21956
01/07/2013,630,153282.22568
01/07/2013,645,152916.96955
01/07/2013,660,153082.81717
01/07/2013,675,152809.28502
01/07/2013,690,152994.80734
01/07/2013,705,152312.34277
01/07/2013,720,150423.56056
01/07/2013,735,150412.93648
01/07/2013,750,150604.63063
01/07/2013,765,150134.03421
01/07/2013,780,149735.54297
01/07/2013,795,148500.25966
01/07/2013,810,147968.8737
01/07/2013,825,146698.40521
01/07/2013,840,145493.34865
01/07/2013,855,142399.90467
01/07/2013,870,141338.70197
01/07/2013,885,140176.51568
01/07/2013,900,139410.1606
01/07/2013,915,138814.36635
01/07/2013,930,138176.05323
01/07/2013,945,137698.14794
01/07/2013,960,136260.35503
01/07/2013,975,134439.40315
01/07/2013,990,133493.22466
01/07/2013,1005,132946.22763
01/07/2013,1020,130742.81705
01/07/2013,1035,129084.83275
01/07/2013,1050,128456.36093
01/07/2013,1065,127883.9541
01/07/2013,1080,126576.13668
01/07/2013,1095,124322.53102
01/07/2013,1110,123409.2723
01/07/2013,1125,122773.93433
01/07/2013,1140,121653.95223
01/07/2013,1155,119717.93359
01/07/2013,1170,118641.78706
01/07/2013,1185,117821.06663
01/07/2013,1200,115227.75966
01/07/2013,1215,113264.67072
01/07/2013,1230,112293.92394
01/07/2013,1245,111060.861
01/07/2013,1260,110198.22189
01/07/2013,1275,109333.38913
01/07/2013,1290,108069.0485
01/07/2013,1305,106544.32861
01/07/2013,1320,104818.09515
02/07/2013,-105,103957.51646
02/07/2013,-90,102414.05968
02/07/2013,-75,101553.12917
02/07/2013,-60,101321.5632
02/07/2013,-45,100718.69274
02/07/2013,-30,100981.67025
02/07/2013,-15,100621.53962
02/07/2013,0,100543.52661
02/07/2013,15,100169.84656
02/07/2013,30,100063.85752
02/07/2013,45,99309.613447
02/07/2013,60,99629.301854
02/07/2013,75,99602.940482
02/07/2013,90,98785.392339
02/07/2013,105,98010.17689
02/07/2013,120,98900.927873
02/07/2013,135,101155.19169
02/07/2013,150,101536.51151
02/07/2013,165,101967.09069
02/07/2013,180,103343.86192
02/07/2013,195,104530.06004
