DateUTC,TimeUTC,SUM_of_MNOZSTVO
01/07/2013,-90,75261.242733
01/07/2013,-60,73875.764904
01/07/2013,-30,73403.047718
01/07/2013,0,72540.677504
01/07/2013,30,73335.865135
01/07/2013,60,73412.102263
01/07/2013,90,74472.806704
01/07/2013,120,78111.950471
01/07/2013,150,82156.807468
01/07/2013,180,85017.1434
01/07/2013,210,91150.808604
01/07/2013,240,99049.940796
01/07/2013,270,113694.61651
01/07/2013,300,118931.244
01/07/2013,330,125820.41338
01/07/2013,360,131052.23295
01/07/2013,390,137238.40034
01/07/2013,420,141468.61977
01/07/2013,450,144861.06421
01/07/2013,480,148237.65071
01/07/2013,510,149302.10361
01/07/2013,540,150363.0843
01/07/2013,570,150368.11751
01/07/2013,600,149946.0103
01/07/2013,630,153282.22568
01/07/2013,660,153082.81717
01/07/2013,690,152994.80734
01/07/2013,720,150423.56056
01/07/2013,750,150604.63063
01/07/2013,780,149735.54297
01/07/2013,810,147968.8737
01/07/2013,840,145493.34865
01/07/2013,870,141338.70197
01/07/2013,900,139410.1606
01/07/2013,930,138176.05323
01/07/2013,960,136260.35503
01/07/2013,990,133493.22466
01/07/2013,1020,130742.81705
01/07/2013,1050,128456.36093
01/07/2013,1080,126576.13668
01/07/2013,1110,123409.2723
01/07/2013,1140,121653.95223
01/07/2013,1170,118641.78706
01/07/2013,1200,115227.75966
01/07/2013,1230,112293.92394
01/07/2013,1260,110198.22189
01/07/2013,1290,108069.0485
01/07/2013,1320,104818.09515
02/07/2013,-90,102414.05968
02/07/2013,-60,101321.5632
02/07/2013,-30,100981.67025
02/07/2013,0,100543.52661
02/07/2013,30,100063.85752
02/07/2013,60,99629.301854
02/07/2013,90,98785.392339
02/07/2013,120,98900.927873
02/07/2013,150,101536.51151
02/07/2013,180,103343.86192
02/07/2013,210,105639.54722
02/07/2013,240,110479.89239
02/07/2013,270,120558.70858
02/07/2013,300,126165.93321
02/07/2013,330,133029.76248
02/07/2013,360,138035.32913
02/07/2013,390,143727.36544
02/07/2013,420,147018.90764
02/07/2013,450,151621.92495
02/07/2013,480,154070.11884
02/07/2013,510,157291.90505
02/07/2013,540,157668.5308
02/07/2013,570,157461.43232
02/07/2013,600,159597.03014
02/07/2013,630,161152.50122
02/07/2013,660,161384.83323
02/07/2013,690,161170.78097
02/07/2013,720,158114.48201
02/07/2013,750,159360.59259
02/07/2013,780,158359.96483
02/07/2013,810,157671.80827
02/07/2013,840,154427.56925
02/07/2013,870,150553.25216
02/07/2013,900,147769.82073
02/07/2013,930,146020.48507
02/07/2013,960,142875.54177
02/07/2013,990,140227.05142
02/07/2013,1020,138112.31331
02/07/2013,1050,134788.83443
02/07/2013,1080,131688.62963
02/07/2013,1110,129758.19714
02/07/2013,1140,126854.98098
02/07/2013,1170,123705.32816
02/07/2013,1200,119740.01976
02/07/2013,1230,117394.03951
02/07/2013,1260,114358.83835
02/07/2013,1290,112837.74206
02/07/2013,1320,109215.79432
03/07/2013,-90,104540.11165
03/07/2013,-60,102799.15236
03/07/2013,-30,103133.25419
03/07/2013,0,103001.64435
03/07/2013,30,102212.41952
03/07/2013,60,102571.47947
03/07/2013,90,101310.57415
03/07/2013,120,99908.738838
03/07/2013,150,104087.21602
03/07/2013,180,104611.8119
03/07/2013,210,108224.66426
03/07/2013,240,112626.47132
03/07/2013,270,122355.46014
03/07/2013,300,127923.97407
03/07/2013,330,135334.89847
03/07/2013,360,140763.27335
03/07/2013,390,147223.64522
03/07/2013,420,150010.48736
03/07/2013,450,155399.57122
03/07/2013,480,157744.73852
03/07/2013,510,160606.9313
03/07/2013,540,158395.32148
03/07/2013,570,158279.86428
03/07/2013,600,160696.84579
03/07/2013,630,162376.84572
03/07/2013,660,162680.99871
03/07/2013,690,163328.20695
03/07/2013,720,159829.5002
03/07/2013,750,162153.2386
03/07/2013,780,160313.00628
03/07/2013,810,158737.4987
03/07/2013,840,156543.66741
03/07/2013,870,151829.82494
03/07/2013,900,149158.21939
03/07/2013,930,147425.15871
03/07/2013,960,146058.09788
03/07/2013,990,141507.58901
03/07/2013,1020,139323.54409
03/07/2013,1050,136566.57299
03/07/2013,1080,134125.33299
03/07/2013,1110,131192.31589
03/07/2013,1140,129659.04541
03/07/2013,1170,124718.8468
03/07/2013,1200,120139.9202
03/07/2013,1230,116970.92872
03/07/2013,1260,114795.01275
03/07/2013,1290,112361.49342
03/07/2013,1320,109824.19889
04/07/2013,-90,107049.17258
04/07/2013,-60,105057.56003
04/07/2013,-30,105461.10141
04/07/2013,0,104559.55
04/07/2013,30,104516.58289
04/07/2013,60,104781.71768
04/07/2013,90,103812.48033
04/07/2013,120,103771.05155
04/07/2013,150,107288.85058
04/07/2013,180,107815.34299
04/07/2013,210,109876.5811
04/07/2013,240,114968.68421
04/07/2013,270,125423.86606
04/07/2013,300,131049.67695
04/07/2013,330,138015.37335
04/07/2013,360,145790.10961
04/07/2013,390,151398.70474
04/07/2013,420,155316.31784
04/07/2013,450,158787.36811
04/07/2013,480,161754.42626
04/07/2013,510,164301.57713
04/07/2013,540,163641.02358
04/07/2013,570,163562.58672
04/07/2013,600,164493.63304
04/07/2013,630,166435.06656
04/07/2013,660,166376.77527
04/07/2013,690,165822.36546
04/07/2013,720,163455.0694
04/07/2013,750,161871.48363
04/07/2013,780,160643.32361
04/07/2013,810,157689.4878
04/07/2013,840,156022.36421
04/07/2013,870,153114.5544
04/07/2013,900,150038.35093
04/07/2013,930,147291.97398
04/07/2013,960,145084.11629
04/07/2013,990,142086.31702
04/07/2013,1020,140133.32962
04/07/2013,1050,136639.29693
04/07/2013,1080,133444.3658
04/07/2013,1110,129878.56031
04/07/2013,1140,127931.55653
04/07/2013,1170,125570.59707
04/07/2013,1200,120180.648
04/07/2013,1230,118053.44449
04/07/2013,1260,115826.68034
04/07/2013,1290,112699.80981
04/07/2013,1320,109909.56564
05/07/2013,-90,104593.50842
05/07/2013,-60,103097.61441
05/07/2013,-30,103169.56765
05/07/2013,0,102237.24568
05/07/2013,30,101710.86288
05/07/2013,60,101727.83209
05/07/2013,90,101473.95857
05/07/2013,120,100909.597
05/07/2013,150,104148.21515
05/07/2013,180,103325.48036
05/07/2013,210,104832.69199
05/07/2013,240,102265.13491
05/07/2013,270,107453.9072
05/07/2013,300,107585.3212
05/07/2013,330,110952.44325
05/07/2013,360,112244.88514
05/07/2013,390,114388.87909
05/07/2013,420,115343.01455
05/07/2013,450,119295.84308
05/07/2013,480,121435.02355
05/07/2013,510,123400.72112
05/07/2013,540,124315.42673
05/07/2013,570,124785.44782
05/07/2013,600,125638.95627
05/07/2013,630,127332.75365
05/07/2013,660,126910.38571
05/07/2013,690,126363.63609
05/07/2013,720,125326.46914
05/07/2013,750,127082.4977
05/07/2013,780,125611.61869
05/07/2013,810,125426.32842
05/07/2013,840,124287.59068
05/07/2013,870,122335.71894
05/07/2013,900,122092.49634
05/07/2013,930,120493.08642
05/07/2013,960,120366.88738
05/07/2013,990,118417.61209
05/07/2013,1020,116833.07402
05/07/2013,1050,116382.24801
05/07/2013,1080,115321.12754
05/07/2013,1110,114272.61036
05/07/2013,1140,112924.06665
05/07/2013,1170,111008.79261
05/07/2013,1200,106462.25356
05/07/2013,1230,104249.55007
05/07/2013,1260,102201.97919
05/07/2013,1290,99981.58557
05/07/2013,1320,96988.044942
06/07/2013,-90,94044.200955
06/07/2013,-60,91668.299991
06/07/2013,-30,92573.975287
06/07/2013,0,92566.060511
06/07/2013,30,91595.707816
06/07/2013,60,91498.386179
06/07/2013,90,90730.325943
06/07/2013,120,90685.008139
06/07/2013,150,92757.433358
06/07/2013,180,93444.275388
06/07/2013,210,94706.058406
06/07/2013,240,93837.122847
06/07/2013,270,98070.871125
06/07/2013,300,98736.616396
06/07/2013,330,101204.09777
06/07/2013,360,102630.79453
06/07/2013,390,106137.77631
06/07/2013,420,107403.54582
06/07/2013,450,111227.44987
06/07/2013,480,112947.029
06/07/2013,510,115849.89993
06/07/2013,540,116115.45589
06/07/2013,570,117259.01927
06/07/2013,600,118558.1439
06/07/2013,630,119596.48415
06/07/2013,660,119423.29708
06/07/2013,690,119527.55845
06/07/2013,720,118372.28995
06/07/2013,750,119549.76643
06/07/2013,780,119901.11655
06/07/2013,810,119086.62926
06/07/2013,840,119731.7253
06/07/2013,870,118437.59066
06/07/2013,900,118249.47149
06/07/2013,930,118156.99902
