DateUTC,TimeUTC,SUM_of_MNOZSTVO
2013-07-01,0,75261.242733
2013-07-01,30,73875.764904
2013-07-01,60,73403.047718
2013-07-01,90,72540.677504
2013-07-01,120,73335.865135
2013-07-01,150,73412.102263
2013-07-01,180,74472.806704
2013-07-01,210,78111.950471
2013-07-01,240,82156.807468
2013-07-01,270,85017.1434
2013-07-01,300,91150.808604
2013-07-01,330,99049.940796
2013-07-01,360,113694.61651
2013-07-01,390,118931.244
2013-07-01,420,125820.41338
2013-07-01,450,131052.23295
2013-07-01,480,137238.40034
2013-07-01,510,141468.61977
2013-07-01,540,144861.06421
2013-07-01,570,148237.65071
2013-07-01,600,149302.10361
2013-07-01,630,150363.0843
2013-07-01,660,150368.11751
2013-07-01,690,149946.0103
2013-07-01,720,153282.22568
2013-07-01,750,153082.81717
2013-07-01,780,152994.80734
2013-07-01,810,150423.56056
2013-07-01,840,150604.63063
2013-07-01,870,149735.54297
2013-07-01,900,147968.8737
2013-07-01,930,145493.34865
2013-07-01,960,141338.70197
2013-07-01,990,139410.1606
2013-07-01,1020,138176.05323
2013-07-01,1050,136260.35503
2013-07-01,1080,133493.22466
2013-07-01,1110,130742.81705
2013-07-01,1140,128456.36093
2013-07-01,1170,126576.13668
2013-07-01,1200,123409.2723
2013-07-01,1230,121653.95223
2013-07-01,1260,118641.78706
2013-07-01,1290,115227.75966
2013-07-01,1320,112293.92394
2013-07-01,1350,110198.22189
2013-07-01,1380,108069.0485
2013-07-01,1410,104818.09515
2013-07-02,0,102414.05968
2013-07-02,30,101321.5632
2013-07-02,60,100981.67025
2013-07-02,90,100543.52661
2013-07-02,120,100063.85752
2013-07-02,150,99629.301854
2013-07-02,180,98785.392339
2013-07-02,210,98900.927873
2013-07-02,240,101536.51151
2013-07-02,270,103343.86192
2013-07-02,300,105639.54722
2013-07-02,330,110479.89239
2013-07-02,360,120558.70858
2013-07-02,390,126165.93321
2013-07-02,420,133029.76248
2013-07-02,450,138035.32913
2013-07-02,480,143727.36544
2013-07-02,510,147018.90764
2013-07-02,540,151621.92495
2013-07-02,570,154070.11884
2013-07-02,600,157291.90505
2013-07-02,630,157668.5308
2013-07-02,660,157461.43232
2013-07-02,690,159597.03014
2013-07-02,720,161152.50122
2013-07-02,750,161384.83323
2013-07-02,780,161170.78097
2013-07-02,810,158114.48201
2013-07-02,840,159360.59259
2013-07-02,870,158359.96483
2013-07-02,900,157671.80827
2013-07-02,930,154427.56925
2013-07-02,960,150553.25216
2013-07-02,990,147769.82073
2013-07-02,1020,146020.48507
2013-07-02,1050,142875.54177
2013-07-02,1080,140227.05142
2013-07-02,1110,138112.31331
2013-07-02,1140,134788.83443
2013-07-02,1170,131688.62963
2013-07-02,1200,129758.19714
2013-07-02,1230,126854.98098
2013-07-02,1260,123705.32816
2013-07-02,1290,119740.01976
2013-07-02,1320,117394.03951
2013-07-02,1350,114358.83835
2013-07-02,1380,112837.74206
2013-07-02,1410,109215.79432
2013-07-03,0,104540.11165
2013-07-03,30,102799.15236
2013-07-03,60,103133.25419
2013-07-03,90,103001.64435
2013-07-03,120,102212.41952
2013-07-03,150,102571.47947
2013-07-03,180,101310.57415
2013-07-03,210,99908.738838
2013-07-03,240,104087.21602
2013-07-03,270,104611.8119
2013-07-03,300,108224.66426
2013-07-03,330,112626.47132
2013-07-03,360,122355.46014
2013-07-03,390,127923.97407
2013-07-03,420,135334.89847
2013-07-03,450,140763.27335
2013-07-03,480,147223.64522
2013-07-03,510,150010.48736
2013-07-03,540,155399.57122
2013-07-03,570,157744.73852
2013-07-03,600,160606.9313
2013-07-03,630,158395.32148
2013-07-03,660,158279.86428
2013-07-03,690,160696.84579
2013-07-03,720,162376.84572
2013-07-03,750,162680.99871
2013-07-03,780,163328.20695
2013-07-03,810,159829.5002
2013-07-03,840,162153.2386
2013-07-03,870,160313.00628
2013-07-03,900,158737.4987
2013-07-03,930,156543.66741
2013-07-03,960,151829.82494
2013-07-03,990,149158.21939
2013-07-03,1020,147425.15871
2013-07-03,1050,146058.09788
2013-07-03,1080,141507.58901
2013-07-03,1110,139323.54409
2013-07-03,1140,136566.57299
2013-07-03,1170,134125.33299
2013-07-03,1200,131192.31589
2013-07-03,1230,129659.04541
2013-07-03,1260,124718.8468
2013-07-03,1290,120139.9202
2013-07-03,1320,116970.92872
2013-07-03,1350,114795.01275
2013-07-03,1380,112361.49342
2013-07-03,1410,109824.19889
2013-07-04,0,107049.17258
2013-07-04,30,105057.56003
2013-07-04,60,105461.10141
2013-07-04,90,104559.55
2013-07-04,120,104516.58289
2013-07-04,150,104781.71768
2013-07-04,180,103812.48033
2013-07-04,210,103771.05155
2013-07-04,240,107288.85058
2013-07-04,270,107815.34299
2013-07-04,300,109876.5811
2013-07-04,330,114968.68421
2013-07-04,360,125423.86606
2013-07-04,390,131049.67695
2013-07-04,420,138015.37335
2013-07-04,450,145790.10961
2013-07-04,480,151398.70474
2013-07-04,510,155316.31784
2013-07-04,540,158787.36811
2013-07-04,570,161754.42626
2013-07-04,600,164301.57713
2013-07-04,630,163641.02358
2013-07-04,660,163562.58672
2013-07-04,690,164493.63304
2013-07-04,720,166435.06656
2013-07-04,750,166376.77527
2013-07-04,780,165822.36546
2013-07-04,810,163455.0694
2013-07-04,840,161871.48363
2013-07-04,870,160643.32361
2013-07-04,900,157689.4878
2013-07-04,930,156022.36421
2013-07-04,960,153114.5544
2013-07-04,990,150038.35093
2013-07-04,1020,147291.97398
2013-07-04,1050,145084.11629
2013-07-04,1080,142086.31702
2013-07-04,1110,140133.32962
2013-07-04,1140,136639.29693
2013-07-04,1170,133444.3658
2013-07-04,1200,129878.56031
2013-07-04,1230,127931.55653
2013-07-04,1260,125570.59707
2013-07-04,1290,120180.648
2013-07-04,1320,118053.44449
2013-07-04,1350,115826.68034
2013-07-04,1380,112699.80981
2013-07-04,1410,109909.56564
2013-07-05,0,104593.50842
2013-07-05,30,103097.61441
2013-07-05,60,103169.56765
2013-07-05,90,102237.24568
2013-07-05,120,101710.86288
2013-07-05,150,101727.83209
2013-07-05,180,101473.95857
2013-07-05,210,100909.597
2013-07-05,240,104148.21515
2013-07-05,270,103325.48036
2013-07-05,300,104832.69199
2013-07-05,330,102265.13491
2013-07-05,360,107453.9072
2013-07-05,390,107585.3212
2013-07-05,420,110952.44325
2013-07-05,450,112244.88514
2013-07-05,480,114388.87909
2013-07-05,510,115343.01455
2013-07-05,540,119295.84308
2013-07-05,570,121435.02355
2013-07-05,600,123400.72112
2013-07-05,630,124315.42673
2013-07-05,660,124785.44782
2013-07-05,690,125638.95627
2013-07-05,720,127332.75365
2013-07-05,750,126910.38571
2013-07-05,780,126363.63609
2013-07-05,810,125326.46914
2013-07-05,840,127082.4977
2013-07-05,870,125611.61869
2013-07-05,900,125426.32842
2013-07-05,930,124287.59068
2013-07-05,960,122335.71894
2013-07-05,990,122092.49634
2013-07-05,1020,120493.08642
2013-07-05,1050,120366.88738
2013-07-05,1080,118417.61209
2013-07-05,1110,116833.07402
2013-07-05,1140,116382.24801
2013-07-05,1170,115321.12754
2013-07-05,1200,114272.61036
2013-07-05,1230,112924.06665
2013-07-05,1260,111008.79261
2013-07-05,1290,106462.25356
2013-07-05,1320,104249.55007
2013-07-05,1350,102201.97919
