merged.DateUTC,merged.Temperature_F,decom.time.series....trend..
2013-07-01,54,111666.579200297
2013-07-01,53.6,111986.217346809
2013-07-01,54,112305.85549332
2013-07-01,55.4,112625.493639832
2013-07-01,54,112945.131786344
2013-07-01,53.6,113264.769932855
2013-07-01,51,113584.408079367
2013-07-01,53.6,113904.046225878
2013-07-01,54,114223.68437239
2013-07-01,57.2,114543.322518902
2013-07-01,59,114862.960665413
2013-07-01,60.8,115182.598811925
2013-07-01,63,115502.236958436
2013-07-01,64.4,115821.875104948
2013-07-01,64,116141.51325146
2013-07-01,66.2,116461.151397971
2013-07-01,67,116759.114556321
2013-07-01,68,117057.07771467
2013-07-01,68,117355.04087302
2013-07-01,69.8,117653.00403137
2013-07-01,71,117950.967189719
2013-07-01,71.6,118248.930348069
2013-07-01,72,118546.893506419
2013-07-01,73.4,118844.856664768
2013-07-01,72,119142.819823118
2013-07-01,73.4,119440.782981468
2013-07-01,73,119738.746139818
2013-07-01,75.2,120036.709298167
2013-07-01,76,120334.672456517
2013-07-01,75.2,120632.635614867
2013-07-01,75,120930.598773216
2013-07-01,75.2,121223.708374616
2013-07-01,74,121516.817976016
2013-07-01,75.2,121809.927577416
2013-07-01,74,122103.037178815
2013-07-01,73.4,122396.146780215
2013-07-01,72,122689.256381615
2013-07-01,69.8,122982.365983015
2013-07-01,69,123275.475584415
2013-07-01,66.2,123568.585185815
2013-07-01,64.4,123861.694787214
2013-07-01,60.8,124154.804388614
2013-07-01,60,124447.913990014
2013-07-01,59,124741.023591414
2013-07-01,57,125034.133192814
2013-07-01,57.2,125327.242794213
2013-07-01,55,125605.252305565
2013-07-01,53.6,125883.261816917
2013-07-02,55,126161.271328269
2013-07-02,53.6,126439.280839621
2013-07-02,53,126717.290350973
2013-07-02,51.8,126995.299862325
2013-07-02,52,127273.309373677
2013-07-02,51.8,127551.318885029
2013-07-02,52,127829.328396381
2013-07-02,53.6,128107.337907733
2013-07-02,55,128385.347419085
2013-07-02,57.2,128663.356930437
2013-07-02,60,128941.366441789
2013-07-02,60.8,129219.375953141
2013-07-02,62,129497.385464493
2013-07-02,64.4,129661.497898883
2013-07-02,65,129825.610333272
2013-07-02,66.2,129989.722767661
2013-07-02,70,130153.83520205
2013-07-02,73.4,130317.947636439
2013-07-02,75,130482.060070829
2013-07-02,75.2,130646.172505218
2013-07-02,77,130810.284939607
2013-07-02,77,130974.397373996
2013-07-02,79,131138.509808385
2013-07-02,78.8,131302.622242774
2013-07-02,79,131466.734677164
2013-07-02,80.6,131630.847111553
2013-07-02,80,131794.959545942
2013-07-02,80.6,131959.071980331
