Temperature_F,Dew_Point_F,Humidity,Pressure_In,Visibility_MPH,Wind_Direction,Wind_Speed_MPH,Gust_Speed_MPH,Precipitation_In,Events,Conditions,WindDirDegrees,DateUTC
54,45,64,30.16,16,WNW,6.7,,,,Clear,300,2013-07-01 00:00:00
53.6,44.6,72,30.15,-9999.0,WNW,8.1,-,N/A,,Clear,300,2013-07-01 00:00:00
53.6,44.6,72,30.12,-9999.0,WNW,6.9,-,N/A,,Clear,300,2013-07-01 00:30:00
54,45,62,30.15,16,NW,4.5,,,,Scattered Clouds,310,2013-07-01 01:00:00
53.6,44.6,72,30.12,-9999.0,NW,5.8,-,N/A,,Clear,320,2013-07-01 01:00:00
55.4,44.6,67,30.12,-9999.0,NW,5.8,-,N/A,,Clear,320,2013-07-01 01:30:00
54,44,61,30.15,16,Calm,Calm,,,,Scattered Clouds,,2013-07-01 02:00:00
55.4,44.6,67,30.12,-9999.0,Variable,1.2,-,N/A,,Clear,0,2013-07-01 02:00:00
53.6,44.6,72,30.12,-9999.0,Variable,2.3,-,N/A,,Clear,0,2013-07-01 02:30:00
51,44,69,30.15,16,SW,2.2,,,,Scattered Clouds,230,2013-07-01 03:00:00
51.8,42.8,71,30.12,-9999.0,SW,3.5,-,N/A,,Clear,230,2013-07-01 03:00:00
53.6,44.6,72,30.12,-9999.0,WNW,2.3,-,N/A,,Clear,290,2013-07-01 03:30:00
54,45,63,30.15,16,NW,4.5,,,,Scattered Clouds,310,2013-07-01 04:00:00
53.6,44.6,72,30.12,-9999.0,NW,5.8,-,N/A,,Clear,320,2013-07-01 04:00:00
57.2,46.4,67,30.12,-9999.0,NW,2.3,-,N/A,,Clear,310,2013-07-01 04:30:00
59,47,54,30.15,16,SSE,2.2,,,,Scattered Clouds,160,2013-07-01 05:00:00
59.0,48.2,67,30.12,-9999.0,Variable,2.3,-,N/A,,Clear,0,2013-07-01 05:00:00
60.8,44.6,55,30.15,-9999.0,Variable,2.3,-,N/A,,Clear,0,2013-07-01 05:30:00
63,46,44,30.15,16,,2.2,,,,Scattered Clouds,,2013-07-01 06:00:00
62.6,48.2,59,30.15,-9999.0,SSE,3.5,-,N/A,,Clear,160,2013-07-01 06:00:00
64.4,46.4,52,30.15,-9999.0,Variable,2.3,-,N/A,,Clear,0,2013-07-01 06:30:00
64,47,43,30.15,16,SW,4.5,,,,Scattered Clouds,220,2013-07-01 07:00:00
64.4,46.4,52,30.15,-9999.0,SW,4.6,-,N/A,,Clear,230,2013-07-01 07:00:00
66.2,46.4,49,30.15,-9999.0,West,9.2,-,N/A,,Clear,280,2013-07-01 07:30:00
67,46,35,30.15,16,NNW,6.7,,,,Scattered Clouds,330,2013-07-01 08:00:00
