datetime,time,load,load_h1,day,holiday,season,sun,temperature,pressure,wind,humidity,rainfall
2014-07-01 00:00:00,0,101118.47694,101715.01138,2,0,2,0,139,9998,46,82,0
2014-07-01 00:15:00,15,99817.507896,101118.47694,2,0,2,0,139,9998,46,82,0
2014-07-01 00:30:00,30,98710.437377,99817.507896,2,0,2,0,139,9998,46,82,0
2014-07-01 00:45:00,45,98282.929046,98710.437377,2,0,2,0,139,9998,46,82,0
2014-07-01 01:00:00,60,98894.937065,98282.929046,2,0,2,0,135,9999,56,82,0
2014-07-01 01:15:00,75,98624.946465,98894.937065,2,0,2,0,135,9999,56,82,0
2014-07-01 01:30:00,90,98604.52989,98624.946465,2,0,2,0,135,9999,56,82,0
2014-07-01 01:45:00,105,97500.733154,98604.52989,2,0,2,0,135,9999,56,82,0
2014-07-01 02:00:00,120,96478.359265,97500.733154,2,0,2,0,131,10002,61,82,0
2014-07-01 02:15:00,135,97083.632822,96478.359265,2,0,2,0,131,10002,61,82,0
2014-07-01 02:30:00,150,96962.609366,97083.632822,2,0,2,0,131,10002,61,82,0
2014-07-01 02:45:00,165,96831.498843,96962.609366,2,0,2,0,131,10002,61,82,0
2014-07-01 03:00:00,180,96845.905582,96831.498843,2,0,2,0,126,10006,51,82,0
2014-07-01 03:15:00,195,97394.636819,96845.905582,2,0,2,0,126,10006,51,82,0
2014-07-01 03:30:00,210,97538.987995,97394.636819,2,0,2,0,126,10006,51,82,0
2014-07-01 03:45:00,225,96351.265564,97538.987995,2,0,2,0,126,10006,51,82,0
2014-07-01 04:00:00,240,98790.286633,96351.265564,2,0,2,188,125,10011,47,81,0
2014-07-01 04:15:00,255,100316.37734,98790.286633,2,0,2,188,125,10011,47,81,0
2014-07-01 04:30:00,270,100689.66006,100316.37734,2,0,2,188,125,10011,47,81,0
2014-07-01 04:45:00,285,100925.98257,100689.66006,2,0,2,188,125,10011,47,81,0
2014-07-01 05:00:00,300,103033.65684,100925.98257,2,0,2,600,135,10015,49,75,0
2014-07-01 05:15:00,315,104154.33296,103033.65684,2,0,2,600,135,10015,49,75,0
2014-07-01 05:30:00,330,105718.74373,104154.33296,2,0,2,600,135,10015,49,75,0
2014-07-01 05:45:00,345,107869.42489,105718.74373,2,0,2,600,135,10015,49,75,0
2014-07-01 06:00:00,360,115452.47671,107869.42489,2,0,2,602,147,10020,69,70,0
2014-07-01 06:15:00,375,119348.15494,115452.47671,2,0,2,602,147,10020,69,70,0
2014-07-01 06:30:00,390,120838.18065,119348.15494,2,0,2,602,147,10020,69,70,0
2014-07-01 06:45:00,405,124565.55377,120838.18065,2,0,2,602,147,10020,69,70,0
2014-07-01 07:00:00,420,129520.91761,124565.55377,2,0,2,600,158,10023,69,67,0
2014-07-01 07:15:00,435,132323.38339,129520.91761,2,0,2,600,158,10023,69,67,0
2014-07-01 07:30:00,450,134358.16637,132323.38339,2,0,2,600,158,10023,69,67,0
2014-07-01 07:45:00,465,135799.56672,134358.16637,2,0,2,600,158,10023,69,67,0
2014-07-01 08:00:00,480,139359.22895,135799.56672,2,0,2,598,175,10026,55,62,0
2014-07-01 08:15:00,495,141620.31236,139359.22895,2,0,2,598,175,10026,55,62,0
2014-07-01 08:30:00,510,143190.49994,141620.31236,2,0,2,598,175,10026,55,62,0
2014-07-01 08:45:00,525,143961.13066,143190.49994,2,0,2,598,175,10026,55,62,0
2014-07-01 09:00:00,540,146415.8341,143961.13066,2,0,2,600,191,10031,47,55,0
2014-07-01 09:15:00,555,149077.13751,146415.8341,2,0,2,600,191,10031,47,55,0
2014-07-01 09:30:00,570,149055.10623,149077.13751,2,0,2,600,191,10031,47,55,0
