datetime,temperature,dewpoint,humidity,pressure,wind,rainfall,cloud
2014-01-01 00:00:00,40.36,30.12,0.67,1025.1,5,0,0
2014-01-01 01:00:00,38.11,30.46,0.74,1024.5,5.6,0,0
2014-01-01 02:00:00,38.65,31.92,0.77,1024.03,3.96,0,0
2014-01-01 03:00:00,38.47,30.99,0.74,1023.43,3.11,0,0
2014-01-01 04:00:00,38,30.66,0.75,1023.07,5.33,0,0
2014-01-01 05:00:00,38.85,30.81,0.73,1022.43,5.54,0,0
2014-01-01 06:00:00,39.36,30.41,0.7,1022.2,4.67,0,0.55
2014-01-01 07:00:00,37.86,30.52,0.75,1022,4.16,0,0
2014-01-01 08:00:00,38.97,31.02,0.73,1022.07,6.01,0,0
2014-01-01 09:00:00,45.85,33.18,0.61,1021.9,7.3,0,0
2014-01-01 10:00:00,51.42,38.06,0.6,1021.87,10.06,0,0
2014-01-01 11:00:00,57.66,42.09,0.56,1021.34,9.69,0,0
2014-01-01 12:00:00,60.49,44.79,0.56,1020.2,7.36,0,0.5
2014-01-01 13:00:00,63.36,46.24,0.54,1018.57,15.12,0,0
2014-01-01 14:00:00,65.15,47.82,0.53,1017.2,11.22,0,0
2014-01-01 15:00:00,64.19,49.11,0.58,1016.61,11.73,0,0
2014-01-01 16:00:00,64.68,49.86,0.59,1016.7,9.78,0,0
2014-01-01 17:00:00,62.25,49.62,0.63,1016.5,9.66,0,0
2014-01-01 18:00:00,58.12,47.81,0.69,1016.6,8.37,0,0
2014-01-01 19:00:00,55.78,47.7,0.74,1017.2,4.85,0,0
2014-01-01 20:00:00,55.53,47.12,0.73,1017.3,6.76,0,0
2014-01-01 21:00:00,53.57,47.42,0.8,1017.77,3.98,0,0
2014-01-01 22:00:00,53.57,48.13,0.82,1018.13,5.5,0,0
2014-01-01 23:00:00,49.05,45.71,0.88,1018.43,6.45,0,0
2014-01-02 00:00:00,53.09,48.07,0.83,1019.7,7.06,0,0
