sun,temperature,pressure,wind,humidity,rainfall,datetime
0,173,9829,4,80,0,2013-08-01 00:00:00
0,173,9829,4,80,0,2013-08-01 00:15:00
0,173,9829,4,80,0,2013-08-01 00:30:00
0,173,9829,4,80,0,2013-08-01 00:45:00
0,163,9832,5,82,0,2013-08-01 01:00:00
0,163,9832,5,82,0,2013-08-01 01:15:00
0,163,9832,5,82,0,2013-08-01 01:30:00
0,163,9832,5,82,0,2013-08-01 01:45:00
0,157,9834,14,86,0,2013-08-01 02:00:00
0,157,9834,14,86,0,2013-08-01 02:15:00
0,157,9834,14,86,0,2013-08-01 02:30:00
0,157,9834,14,86,0,2013-08-01 02:45:00
0,154,9835,3,85,0,2013-08-01 03:00:00
0,154,9835,3,85,0,2013-08-01 03:15:00
0,154,9835,3,85,0,2013-08-01 03:30:00
0,154,9835,3,85,0,2013-08-01 03:45:00
0,145,9836,8,88,0,2013-08-01 04:00:00
0,145,9836,8,88,0,2013-08-01 04:15:00
0,145,9836,8,88,0,2013-08-01 04:30:00
0,145,9836,8,88,0,2013-08-01 04:45:00
483,154,9837,4,85,0,2013-08-01 05:00:00
483,154,9837,4,85,0,2013-08-01 05:15:00
483,154,9837,4,85,0,2013-08-01 05:30:00
483,154,9837,4,85,0,2013-08-01 05:45:00
582,180,9838,3,76,0,2013-08-01 06:00:00
582,180,9838,3,76,0,2013-08-01 06:15:00
582,180,9838,3,76,0,2013-08-01 06:30:00
582,180,9838,3,76,0,2013-08-01 06:45:00
600,206,9837,9,65,0,2013-08-01 07:00:00
600,206,9837,9,65,0,2013-08-01 07:15:00
600,206,9837,9,65,0,2013-08-01 07:30:00
600,206,9837,9,65,0,2013-08-01 07:45:00
600,221,9837,14,56,0,2013-08-01 08:00:00
600,221,9837,14,56,0,2013-08-01 08:15:00
600,221,9837,14,56,0,2013-08-01 08:30:00
600,221,9837,14,56,0,2013-08-01 08:45:00
600,235,9835,9,49,0,2013-08-01 09:00:00
600,235,9835,9,49,0,2013-08-01 09:15:00
600,235,9835,9,49,0,2013-08-01 09:30:00
600,235,9835,9,49,0,2013-08-01 09:45:00
600,251,9831,8,43,0,2013-08-01 10:00:00
600,251,9831,8,43,0,2013-08-01 10:15:00
600,251,9831,8,43,0,2013-08-01 10:30:00
600,251,9831,8,43,0,2013-08-01 10:45:00
598,264,9827,18,38,0,2013-08-01 11:00:00
598,264,9827,18,38,0,2013-08-01 11:15:00
598,264,9827,18,38,0,2013-08-01 11:30:00
598,264,9827,18,38,0,2013-08-01 11:45:00
600,275,9822,7,36,0,2013-08-01 12:00:00
600,275,9822,7,36,0,2013-08-01 12:15:00
600,275,9822,7,36,0,2013-08-01 12:30:00
600,275,9822,7,36,0,2013-08-01 12:45:00
488,282,9816,8,34,0,2013-08-01 13:00:00
488,282,9816,8,34,0,2013-08-01 13:15:00
488,282,9816,8,34,0,2013-08-01 13:30:00
488,282,9816,8,34,0,2013-08-01 13:45:00
240,277,9814,4,34,0,2013-08-01 14:00:00
240,277,9814,4,34,0,2013-08-01 14:15:00
240,277,9814,4,34,0,2013-08-01 14:30:00
240,277,9814,4,34,0,2013-08-01 14:45:00
108,276,9814,4,35,0,2013-08-01 15:00:00
108,276,9814,4,35,0,2013-08-01 15:15:00
108,276,9814,4,35,0,2013-08-01 15:30:00
108,276,9814,4,35,0,2013-08-01 15:45:00
400,274,9810,6,36,0,2013-08-01 16:00:00
400,274,9810,6,36,0,2013-08-01 16:15:00
400,274,9810,6,36,0,2013-08-01 16:30:00
400,274,9810,6,36,0,2013-08-01 16:45:00
588,276,9808,8,37,0,2013-08-01 17:00:00
588,276,9808,8,37,0,2013-08-01 17:15:00
588,276,9808,8,37,0,2013-08-01 17:30:00
588,276,9808,8,37,0,2013-08-01 17:45:00
455,258,9810,25,44,0,2013-08-01 18:00:00
455,258,9810,25,44,0,2013-08-01 18:15:00
455,258,9810,25,44,0,2013-08-01 18:30:00
455,258,9810,25,44,0,2013-08-01 18:45:00
0,231,9815,9,52,0,2013-08-01 19:00:00
0,231,9815,9,52,0,2013-08-01 19:15:00
0,231,9815,9,52,0,2013-08-01 19:30:00
0,231,9815,9,52,0,2013-08-01 19:45:00
0,202,9823,9,62,0,2013-08-01 20:00:00
0,202,9823,9,62,0,2013-08-01 20:15:00
0,202,9823,9,62,0,2013-08-01 20:30:00
0,202,9823,9,62,0,2013-08-01 20:45:00
0,183,9825,5,68,0,2013-08-01 21:00:00
0,183,9825,5,68,0,2013-08-01 21:15:00
0,183,9825,5,68,0,2013-08-01 21:30:00
0,183,9825,5,68,0,2013-08-01 21:45:00
0,170,9828,6,72,0,2013-08-01 22:00:00
0,170,9828,6,72,0,2013-08-01 22:15:00
0,170,9828,6,72,0,2013-08-01 22:30:00
0,170,9828,6,72,0,2013-08-01 22:45:00
0,159,9833,8,76,0,2013-08-01 23:00:00
0,159,9833,8,76,0,2013-08-01 23:15:00
0,159,9833,8,76,0,2013-08-01 23:30:00
0,159,9833,8,76,0,2013-08-01 23:45:00
0,150,9835,4,80,0,2013-08-02 00:00:00
0,150,9835,4,80,0,2013-08-02 00:15:00
0,150,9835,4,80,0,2013-08-02 00:30:00
0,150,9835,4,80,0,2013-08-02 00:45:00
0,143,9834,0,83,0,2013-08-02 01:00:00
0,143,9834,0,83,0,2013-08-02 01:15:00
0,143,9834,0,83,0,2013-08-02 01:30:00
0,143,9834,0,83,0,2013-08-02 01:45:00
0,137,9831,4,86,0,2013-08-02 02:00:00
0,137,9831,4,86,0,2013-08-02 02:15:00
0,137,9831,4,86,0,2013-08-02 02:30:00
0,137,9831,4,86,0,2013-08-02 02:45:00
0,130,9830,4,88,0,2013-08-02 03:00:00
0,130,9830,4,88,0,2013-08-02 03:15:00
0,130,9830,4,88,0,2013-08-02 03:30:00
0,130,9830,4,88,0,2013-08-02 03:45:00
0,129,9832,3,89,0,2013-08-02 04:00:00
0,129,9832,3,89,0,2013-08-02 04:15:00
0,129,9832,3,89,0,2013-08-02 04:30:00
0,129,9832,3,89,0,2013-08-02 04:45:00
383,144,9834,6,84,0,2013-08-02 05:00:00
383,144,9834,6,84,0,2013-08-02 05:15:00
383,144,9834,6,84,0,2013-08-02 05:30:00
383,144,9834,6,84,0,2013-08-02 05:45:00
600,163,9833,18,78,0,2013-08-02 06:00:00
600,163,9833,18,78,0,2013-08-02 06:15:00
600,163,9833,18,78,0,2013-08-02 06:30:00
600,163,9833,18,78,0,2013-08-02 06:45:00
600,191,9831,19,68,0,2013-08-02 07:00:00
600,191,9831,19,68,0,2013-08-02 07:15:00
600,191,9831,19,68,0,2013-08-02 07:30:00
