sun,temperature,pressure,wind,humidity,rainfall,datetime
0,184,9907,14,72,0,2013-08-01 00:00:00
0,184,9907,14,72,0,2013-08-01 00:15:00
0,184,9907,14,72,0,2013-08-01 00:30:00
0,184,9907,14,72,0,2013-08-01 00:45:00
0,185,9908,6,73,0,2013-08-01 01:00:00
0,185,9908,6,73,0,2013-08-01 01:15:00
0,185,9908,6,73,0,2013-08-01 01:30:00
0,185,9908,6,73,0,2013-08-01 01:45:00
0,188,9908,9,73,0,2013-08-01 02:00:00
0,188,9908,9,73,0,2013-08-01 02:15:00
0,188,9908,9,73,0,2013-08-01 02:30:00
0,188,9908,9,73,0,2013-08-01 02:45:00
0,195,9910,26,71,0,2013-08-01 03:00:00
0,195,9910,26,71,0,2013-08-01 03:15:00
0,195,9910,26,71,0,2013-08-01 03:30:00
0,195,9910,26,71,0,2013-08-01 03:45:00
0,204,9913,30,64,0,2013-08-01 04:00:00
0,204,9913,30,64,0,2013-08-01 04:15:00
0,204,9913,30,64,0,2013-08-01 04:30:00
0,204,9913,30,64,0,2013-08-01 04:45:00
327,204,9915,42,65,0,2013-08-01 05:00:00
327,204,9915,42,65,0,2013-08-01 05:15:00
327,204,9915,42,65,0,2013-08-01 05:30:00
327,204,9915,42,65,0,2013-08-01 05:45:00
420,210,9916,54,64,0,2013-08-01 06:00:00
420,210,9916,54,64,0,2013-08-01 06:15:00
420,210,9916,54,64,0,2013-08-01 06:30:00
420,210,9916,54,64,0,2013-08-01 06:45:00
0,213,9920,40,63,0,2013-08-01 07:00:00
0,213,9920,40,63,0,2013-08-01 07:15:00
0,213,9920,40,63,0,2013-08-01 07:30:00
0,213,9920,40,63,0,2013-08-01 07:45:00
47,218,9925,50,61,0,2013-08-01 08:00:00
47,218,9925,50,61,0,2013-08-01 08:15:00
47,218,9925,50,61,0,2013-08-01 08:30:00
47,218,9925,50,61,0,2013-08-01 08:45:00
560,237,9925,56,56,0,2013-08-01 09:00:00
560,237,9925,56,56,0,2013-08-01 09:15:00
560,237,9925,56,56,0,2013-08-01 09:30:00
560,237,9925,56,56,0,2013-08-01 09:45:00
583,249,9924,53,47,0,2013-08-01 10:00:00
583,249,9924,53,47,0,2013-08-01 10:15:00
583,249,9924,53,47,0,2013-08-01 10:30:00
583,249,9924,53,47,0,2013-08-01 10:45:00
580,258,9923,39,43,0,2013-08-01 11:00:00
580,258,9923,39,43,0,2013-08-01 11:15:00
580,258,9923,39,43,0,2013-08-01 11:30:00
580,258,9923,39,43,0,2013-08-01 11:45:00
573,265,9920,35,40,0,2013-08-01 12:00:00
573,265,9920,35,40,0,2013-08-01 12:15:00
573,265,9920,35,40,0,2013-08-01 12:30:00
573,265,9920,35,40,0,2013-08-01 12:45:00
90,262,9916,24,39,0,2013-08-01 13:00:00
90,262,9916,24,39,0,2013-08-01 13:15:00
90,262,9916,24,39,0,2013-08-01 13:30:00
90,262,9916,24,39,0,2013-08-01 13:45:00
313,266,9914,15,39,0,2013-08-01 14:00:00
313,266,9914,15,39,0,2013-08-01 14:15:00
313,266,9914,15,39,0,2013-08-01 14:30:00
313,266,9914,15,39,0,2013-08-01 14:45:00
450,271,9912,16,39,0,2013-08-01 15:00:00
450,271,9912,16,39,0,2013-08-01 15:15:00
450,271,9912,16,39,0,2013-08-01 15:30:00
450,271,9912,16,39,0,2013-08-01 15:45:00
147,267,9911,17,41,0,2013-08-01 16:00:00
147,267,9911,17,41,0,2013-08-01 16:15:00
147,267,9911,17,41,0,2013-08-01 16:30:00
147,267,9911,17,41,0,2013-08-01 16:45:00
17,255,9911,16,50,0,2013-08-01 17:00:00
17,255,9911,16,50,0,2013-08-01 17:15:00
17,255,9911,16,50,0,2013-08-01 17:30:00
17,255,9911,16,50,0,2013-08-01 17:45:00
383,251,9911,12,54,0,2013-08-01 18:00:00
383,251,9911,12,54,0,2013-08-01 18:15:00
383,251,9911,12,54,0,2013-08-01 18:30:00
383,251,9911,12,54,0,2013-08-01 18:45:00
0,231,9914,16,63,0,2013-08-01 19:00:00
0,231,9914,16,63,0,2013-08-01 19:15:00
0,231,9914,16,63,0,2013-08-01 19:30:00
0,231,9914,16,63,0,2013-08-01 19:45:00
0,206,9919,17,74,0,2013-08-01 20:00:00
0,206,9919,17,74,0,2013-08-01 20:15:00
0,206,9919,17,74,0,2013-08-01 20:30:00
0,206,9919,17,74,0,2013-08-01 20:45:00
0,194,9920,26,73,0,2013-08-01 21:00:00
0,194,9920,26,73,0,2013-08-01 21:15:00
0,194,9920,26,73,0,2013-08-01 21:30:00
0,194,9920,26,73,0,2013-08-01 21:45:00
0,180,9922,19,74,0,2013-08-01 22:00:00
0,180,9922,19,74,0,2013-08-01 22:15:00
0,180,9922,19,74,0,2013-08-01 22:30:00
0,180,9922,19,74,0,2013-08-01 22:45:00
0,178,9924,27,72,0,2013-08-01 23:00:00
0,178,9924,27,72,0,2013-08-01 23:15:00
0,178,9924,27,72,0,2013-08-01 23:30:00
0,178,9924,27,72,0,2013-08-01 23:45:00
0,179,9927,27,69,0,2013-08-02 00:00:00
0,179,9927,27,69,0,2013-08-02 00:15:00
0,179,9927,27,69,0,2013-08-02 00:30:00
0,179,9927,27,69,0,2013-08-02 00:45:00
0,173,9928,8,74,0,2013-08-02 01:00:00
0,173,9928,8,74,0,2013-08-02 01:15:00
0,173,9928,8,74,0,2013-08-02 01:30:00
0,173,9928,8,74,0,2013-08-02 01:45:00
0,169,9925,5,76,0,2013-08-02 02:00:00
0,169,9925,5,76,0,2013-08-02 02:15:00
0,169,9925,5,76,0,2013-08-02 02:30:00
0,169,9925,5,76,0,2013-08-02 02:45:00
0,163,9922,9,77,0,2013-08-02 03:00:00
0,163,9922,9,77,0,2013-08-02 03:15:00
0,163,9922,9,77,0,2013-08-02 03:30:00
0,163,9922,9,77,0,2013-08-02 03:45:00
0,163,9922,14,77,0,2013-08-02 04:00:00
0,163,9922,14,77,0,2013-08-02 04:15:00
0,163,9922,14,77,0,2013-08-02 04:30:00
0,163,9922,14,77,0,2013-08-02 04:45:00
395,172,9924,13,74,0,2013-08-02 05:00:00
395,172,9924,13,74,0,2013-08-02 05:15:00
395,172,9924,13,74,0,2013-08-02 05:30:00
395,172,9924,13,74,0,2013-08-02 05:45:00
560,194,9926,4,70,0,2013-08-02 06:00:00
560,194,9926,4,70,0,2013-08-02 06:15:00
560,194,9926,4,70,0,2013-08-02 06:30:00
560,194,9926,4,70,0,2013-08-02 06:45:00
600,216,9926,4,63,0,2013-08-02 07:00:00
600,216,9926,4,63,0,2013-08-02 07:15:00
600,216,9926,4,63,0,2013-08-02 07:30:00
600,216,9926,4,63,0,2013-08-02 07:45:00
600,230,9926,17,61,0,2013-08-02 08:00:00
600,230,9926,17,61,0,2013-08-02 08:15:00
600,230,9926,17,61,0,2013-08-02 08:30:00
600,230,9926,17,61,0,2013-08-02 08:45:00
600,251,9925,30,48,0,2013-08-02 09:00:00
600,251,9925,30,48,0,2013-08-02 09:15:00
600,251,9925,30,48,0,2013-08-02 09:30:00
600,251,9925,30,48,0,2013-08-02 09:45:00
600,267,9922,37,45,0,2013-08-02 10:00:00
600,267,9922,37,45,0,2013-08-02 10:15:00
600,267,9922,37,45,0,2013-08-02 10:30:00
600,267,9922,37,45,0,2013-08-02 10:45:00
600,278,9918,28,42,0,2013-08-02 11:00:00
600,278,9918,28,42,0,2013-08-02 11:15:00
600,278,9918,28,42,0,2013-08-02 11:30:00
600,278,9918,28,42,0,2013-08-02 11:45:00
593,289,9913,25,39,0,2013-08-02 12:00:00
593,289,9913,25,39,0,2013-08-02 12:15:00
593,289,9913,25,39,0,2013-08-02 12:30:00
593,289,9913,25,39,0,2013-08-02 12:45:00
528,297,9908,15,37,0,2013-08-02 13:00:00
528,297,9908,15,37,0,2013-08-02 13:15:00
528,297,9908,15,37,0,2013-08-02 13:30:00
528,297,9908,15,37,0,2013-08-02 13:45:00
572,301,9903,20,37,0,2013-08-02 14:00:00
572,301,9903,20,37,0,2013-08-02 14:15:00
572,301,9903,20,37,0,2013-08-02 14:30:00
572,301,9903,20,37,0,2013-08-02 14:45:00
587,301,9899,15,38,0,2013-08-02 15:00:00
587,301,9899,15,38,0,2013-08-02 15:15:00
587,301,9899,15,38,0,2013-08-02 15:30:00
587,301,9899,15,38,0,2013-08-02 15:45:00
600,300,9895,13,38,0,2013-08-02 16:00:00
600,300,9895,13,38,0,2013-08-02 16:15:00
600,300,9895,13,38,0,2013-08-02 16:30:00
600,300,9895,13,38,0,2013-08-02 16:45:00
583,298,9893,12,38,0,2013-08-02 17:00:00
583,298,9893,12,38,0,2013-08-02 17:15:00
583,298,9893,12,38,0,2013-08-02 17:30:00
583,298,9893,12,38,0,2013-08-02 17:45:00
17,286,9895,3,43,0,2013-08-02 18:00:00
17,286,9895,3,43,0,2013-08-02 18:15:00
17,286,9895,3,43,0,2013-08-02 18:30:00
17,286,9895,3,43,0,2013-08-02 18:45:00
0,267,9897,16,54,0,2013-08-02 19:00:00
0,267,9897,16,54,0,2013-08-02 19:15:00
0,267,9897,16,54,0,2013-08-02 19:30:00
0,267,9897,16,54,0,2013-08-02 19:45:00
0,247,9901,24,63,0,2013-08-02 20:00:00
0,247,9901,24,63,0,2013-08-02 20:15:00
0,247,9901,24,63,0,2013-08-02 20:30:00
0,247,9901,24,63,0,2013-08-02 20:45:00
0,231,9902,21,67,0,2013-08-02 21:00:00
0,231,9902,21,67,0,2013-08-02 21:15:00
0,231,9902,21,67,0,2013-08-02 21:30:00
0,231,9902,21,67,0,2013-08-02 21:45:00
0,215,9903,21,72,0,2013-08-02 22:00:00
0,215,9903,21,72,0,2013-08-02 22:15:00
0,215,9903,21,72,0,2013-08-02 22:30:00
0,215,9903,21,72,0,2013-08-02 22:45:00
0,213,9902,24,71,0,2013-08-02 23:00:00
0,213,9902,24,71,0,2013-08-02 23:15:00
0,213,9902,24,71,0,2013-08-02 23:30:00
0,213,9902,24,71,0,2013-08-02 23:45:00
0,202,9903,14,73,0,2013-08-03 00:00:00
0,202,9903,14,73,0,2013-08-03 00:15:00
0,202,9903,14,73,0,2013-08-03 00:30:00
0,202,9903,14,73,0,2013-08-03 00:45:00
0,194,9902,13,75,0,2013-08-03 01:00:00
0,194,9902,13,75,0,2013-08-03 01:15:00
0,194,9902,13,75,0,2013-08-03 01:30:00
0,194,9902,13,75,0,2013-08-03 01:45:00
0,189,9898,13,78,0,2013-08-03 02:00:00
0,189,9898,13,78,0,2013-08-03 02:15:00
0,189,9898,13,78,0,2013-08-03 02:30:00
0,189,9898,13,78,0,2013-08-03 02:45:00
0,183,9895,15,81,0,2013-08-03 03:00:00
0,183,9895,15,81,0,2013-08-03 03:15:00
0,183,9895,15,81,0,2013-08-03 03:30:00
0,183,9895,15,81,0,2013-08-03 03:45:00
0,182,9896,10,80,0,2013-08-03 04:00:00
0,182,9896,10,80,0,2013-08-03 04:15:00
0,182,9896,10,80,0,2013-08-03 04:30:00
0,182,9896,10,80,0,2013-08-03 04:45:00
468,191,9896,14,79,0,2013-08-03 05:00:00
468,191,9896,14,79,0,2013-08-03 05:15:00
468,191,9896,14,79,0,2013-08-03 05:30:00
468,191,9896,14,79,0,2013-08-03 05:45:00
600,214,9897,18,74,0,2013-08-03 06:00:00
600,214,9897,18,74,0,2013-08-03 06:15:00
600,214,9897,18,74,0,2013-08-03 06:30:00
600,214,9897,18,74,0,2013-08-03 06:45:00
600,240,9898,19,64,0,2013-08-03 07:00:00
600,240,9898,19,64,0,2013-08-03 07:15:00
600,240,9898,19,64,0,2013-08-03 07:30:00
600,240,9898,19,64,0,2013-08-03 07:45:00
600,267,9899,9,56,0,2013-08-03 08:00:00
600,267,9899,9,56,0,2013-08-03 08:15:00
600,267,9899,9,56,0,2013-08-03 08:30:00
600,267,9899,9,56,0,2013-08-03 08:45:00
600,287,9899,10,47,0,2013-08-03 09:00:00
600,287,9899,10,47,0,2013-08-03 09:15:00
600,287,9899,10,47,0,2013-08-03 09:30:00
600,287,9899,10,47,0,2013-08-03 09:45:00
600,298,9899,8,43,0,2013-08-03 10:00:00
600,298,9899,8,43,0,2013-08-03 10:15:00
600,298,9899,8,43,0,2013-08-03 10:30:00
600,298,9899,8,43,0,2013-08-03 10:45:00
600,310,9896,5,40,0,2013-08-03 11:00:00
600,310,9896,5,40,0,2013-08-03 11:15:00
600,310,9896,5,40,0,2013-08-03 11:30:00
600,310,9896,5,40,0,2013-08-03 11:45:00
532,317,9893,8,37,0,2013-08-03 12:00:00
532,317,9893,8,37,0,2013-08-03 12:15:00
532,317,9893,8,37,0,2013-08-03 12:30:00
