sun,temperature,pressure,wind,humidity,rainfall,datetime
0,131,9393,11,89,0,2013-08-01 00:00:00
0,131,9393,11,89,0,2013-08-01 00:15:00
0,131,9393,11,89,0,2013-08-01 00:30:00
0,131,9393,11,89,0,2013-08-01 00:45:00
0,129,9393,4,90,0,2013-08-01 01:00:00
0,129,9393,4,90,0,2013-08-01 01:15:00
0,129,9393,4,90,0,2013-08-01 01:30:00
0,129,9393,4,90,0,2013-08-01 01:45:00
0,123,9395,6,90,0,2013-08-01 02:00:00
0,123,9395,6,90,0,2013-08-01 02:15:00
0,123,9395,6,90,0,2013-08-01 02:30:00
0,123,9395,6,90,0,2013-08-01 02:45:00
0,117,9397,14,92,0,2013-08-01 03:00:00
0,117,9397,14,92,0,2013-08-01 03:15:00
0,117,9397,14,92,0,2013-08-01 03:30:00
0,117,9397,14,92,0,2013-08-01 03:45:00
0,115,9400,12,92,0,2013-08-01 04:00:00
0,115,9400,12,92,0,2013-08-01 04:15:00
0,115,9400,12,92,0,2013-08-01 04:30:00
0,115,9400,12,92,0,2013-08-01 04:45:00
0,113,9402,4,91,0,2013-08-01 05:00:00
0,113,9402,4,91,0,2013-08-01 05:15:00
0,113,9402,4,91,0,2013-08-01 05:30:00
0,113,9402,4,91,0,2013-08-01 05:45:00
417,139,9405,5,90,0,2013-08-01 06:00:00
417,139,9405,5,90,0,2013-08-01 06:15:00
417,139,9405,5,90,0,2013-08-01 06:30:00
417,139,9405,5,90,0,2013-08-01 06:45:00
585,181,9406,5,76,0,2013-08-01 07:00:00
585,181,9406,5,76,0,2013-08-01 07:15:00
585,181,9406,5,76,0,2013-08-01 07:30:00
585,181,9406,5,76,0,2013-08-01 07:45:00
572,200,9406,13,66,0,2013-08-01 08:00:00
572,200,9406,13,66,0,2013-08-01 08:15:00
572,200,9406,13,66,0,2013-08-01 08:30:00
572,200,9406,13,66,0,2013-08-01 08:45:00
287,207,9405,11,59,0,2013-08-01 09:00:00
287,207,9405,11,59,0,2013-08-01 09:15:00
287,207,9405,11,59,0,2013-08-01 09:30:00
287,207,9405,11,59,0,2013-08-01 09:45:00
347,216,9403,15,55,0,2013-08-01 10:00:00
347,216,9403,15,55,0,2013-08-01 10:15:00
347,216,9403,15,55,0,2013-08-01 10:30:00
347,216,9403,15,55,0,2013-08-01 10:45:00
243,220,9401,16,53,0,2013-08-01 11:00:00
