,electrometer,postcode,location,rows,f
1,743,,,5761,data/cz/_20161231_20170301.csv
2,946,,,46849,data/cz/0514336057_20141201_20160402.csv
3,995,,,38921,data/cz/0515091119_20150221_20160402.csv
4,996,,,38921,data/cz/0515091128_20150221_20160402.csv
5,333,639 00,Brno - Škrobárny,78913,data/cz/1-136391_20140101_20160402.csv
6,734,301 00,Plze?, Borská pole,46273,data/cz/1014306192_20141207_20160402.csv
7,942,,,30211,data/cz/1014306223_20150221_20160102.csv
8,735,301 00,Plze?, Borská pole,46273,data/cz/1014306228_20141207_20160402.csv
9,943,,,38947,data/cz/1014352047_20150221_20160402.csv
10,1004,,,39005,data/cz/1014352054_20150220_20160402.csv
11,993,,,38921,data/cz/1015165140_20150221_20160402.csv
12,672,301 00,Plze?,1537,data/cz/105504_20140714_20140730.csv
13,673,301 00,Plze?, Borská pole,1537,data/cz/105505_20140714_20140730.csv
14,247,720 00,Ostrava - Hrabová, fáze I.,11617,data/cz/1130023_20140101_20140502.csv
15,245,720 00,Ostrava - Hrabová, fáze I.,78913,data/cz/1130055_20140101_20160402.csv
16,243,720 00,Ostrava - Hrabová, fáze I.,78913,data/cz/1131227_20140101_20160402.csv
17,242,721 00,Ostrava - Hrabová, fáze I.,11617,data/cz/1131348_20140101_20140502.csv
18,250,720 00,Ostrava - Hrabová, fáze I.,11617,data/cz/1131371_20140101_20140502.csv
19,248,720 00,Ostrava - Hrabová, fáze I.,78913,data/cz/1131379_20140101_20160402.csv
20,241,720 00,Ostrava - Hrabová, fáze I.,78913,data/cz/1131383_20140101_20160402.csv
21,236,720 00,Ostrava - Hrabová, fáze I.,8641,data/cz/1131420_20140201_20140502.csv
22,244,720 00,Ostrava - Hrabová, fáze I.,11617,data/cz/1131632_20140101_20140502.csv
23,33,695 23,Poho?elice, fáze I.,78913,data/cz/1136833_20140101_20160402.csv
24,264,720 00,Ostrava - Hrabová, fáze I.,78913,data/cz/1139913_20140101_20160402.csv
25,246,720 00,Ostrava - Hrabová, fáze I.,11617,data/cz/1139999_20140101_20140502.csv
26,331,639 00,Brno - Škrobárny,112664,data/cz/118535_20131230_20170317.csv
27,251,720 00,Ostrava - Hrabová, fáze I.,78913,data/cz/118536_20140101_20160402.csv
28,479,639 00,Brno - Spielberk,75937,data/cz/1215054_20140201_20160402.csv
29,477,639 00,Brno - Spielberk,78913,data/cz/1221646_20140101_20160402.csv
30,476,639 00,Brno - Spielberk,78913,data/cz/1221681_20140101_20160402.csv
