,electrometer,postcode,location,rows,f
1,10,586 02,Jihlava - Antonínùv dùl,69985,data/ceskedata/CZ_data_1/10.csv
2,100,720 00,Ostrava - Hrabová, fáze II.,69985,data/ceskedata/CZ_data_1/100.csv
3,102,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/102.csv
4,104,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/104.csv
5,105,720 00,Ostrava - Hrabová, fáze II.,69985,data/ceskedata/CZ_data_1/105.csv
6,106,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/106.csv
7,107,,,69985,data/ceskedata/CZ_data_1/107.csv
8,108,,,69985,data/ceskedata/CZ_data_1/108.csv
9,11,664 51,lapanice,69985,data/ceskedata/CZ_data_1/11.csv
10,113,301 00,Plzeò, Borská pole,69985,data/ceskedata/CZ_data_1/113.csv
11,114,290 22,Lysá nad Labem, Litol,69985,data/ceskedata/CZ_data_1/114.csv
12,115,289 22,Lysá nad labem, Litol,69985,data/ceskedata/CZ_data_1/115.csv
13,1151,639 00,Brno - krobárny,69985,data/ceskedata/CZ_data_1/1151.csv
14,1152,640 00,Brno - krobárny,69985,data/ceskedata/CZ_data_1/1152.csv
15,1153,639 00,Brno - krobárny,69985,data/ceskedata/CZ_data_1/1153.csv
16,1154,639 00,Brno - Spielberk,69985,data/ceskedata/CZ_data_1/1154.csv
17,1155,640 00,Brno - Spielberk,69985,data/ceskedata/CZ_data_1/1155.csv
18,116,720 00,Ostrava - Hrabová, fáze II.,69985,data/ceskedata/CZ_data_1/116.csv
19,117,440 01,Louny,69985,data/ceskedata/CZ_data_1/117.csv
20,118,720 00,Ostrava - Hrabová, fáze II.,69985,data/ceskedata/CZ_data_1/118.csv
21,119,291 22,Lysá nad Labem, Litol,69985,data/ceskedata/CZ_data_1/119.csv
22,12,664 51,lapanice,69985,data/ceskedata/CZ_data_1/12.csv
23,120,,,69985,data/ceskedata/CZ_data_1/120.csv
24,121,720 00,Ostrava - Hrabová, fáze II.,69985,data/ceskedata/CZ_data_1/121.csv
25,122,440 01,Louny,69985,data/ceskedata/CZ_data_1/122.csv
26,123,720 00,Ostrava - Hrabová, fáze I.,69985,data/ceskedata/CZ_data_1/123.csv
27,124,440 01,Louny,69985,data/ceskedata/CZ_data_1/124.csv
28,126,720 00,Ostrava - Hrabová, fáze II.,69985,data/ceskedata/CZ_data_1/126.csv
29,127,720 00,Ostrava - Hrabová, fáze II.,69985,data/ceskedata/CZ_data_1/127.csv
30,13,664 51,lapanice,69985,data/ceskedata/CZ_data_1/13.csv
31,130,720 00,Ostrava - Hrabová, fáze II.,69985,data/ceskedata/CZ_data_1/130.csv
32,131,630 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/131.csv
33,133,301 00,Plzeò, Borská pole,69985,data/ceskedata/CZ_data_1/133.csv
34,135,720 00,Ostrava - Hrabová, fáze II.,69985,data/ceskedata/CZ_data_1/135.csv
35,136,720 00,Ostrava - Hrabová, fáze I.,69985,data/ceskedata/CZ_data_1/136.csv
36,137,,,69985,data/ceskedata/CZ_data_1/137.csv
37,138,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/138.csv
38,139,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/139.csv
39,14,664 51,lapanice,69985,data/ceskedata/CZ_data_1/14.csv
40,140,720 00,Ostrava - Hrabová, fáze I.,69985,data/ceskedata/CZ_data_1/140.csv
41,141,720 00,Ostrava - Hrabová, fáze I.,69985,data/ceskedata/CZ_data_1/141.csv
42,142,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/142.csv
